#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"SubjectUserSid","SubjectUserName","SubjectDomainName","SubjectLogonId","NewProcessId","NewProcessName","TokenElevationType","ProcessId","CommandLine","Id","Version","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","LevelDisplayName","OpcodeDisplayName","TaskDisplayName"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x668","C:\Program Files (x86)\Parallels\Parallels Tools\PTIAgent.exe","%%1937","0x2a8",,"4688","0","0","13312","0","-9214364837600034816","7043","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","64","bob-win7.lab.local",,"12/25/2016 8:14:56 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x240","C:\Windows\System32\rundll32.exe","%%1938","0x2a0",,"4688","0","0","13312","0","-9214364837600034816","7042","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","56","bob-win7.lab.local",,"12/25/2016 8:14:54 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x178","C:\Windows\System32\SearchProtocolHost.exe","%%1938","0xb80",,"4688","0","0","13312","0","-9214364837600034816","7041","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","56","bob-win7.lab.local",,"12/25/2016 8:14:52 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0xae4","C:\Windows\System32\conhost.exe","%%1936","0x17c",,"4688","0","0","13312","0","-9214364837600034816","7040","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","52","bob-win7.lab.local",,"12/25/2016 8:14:47 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x1e8","C:\Program Files (x86)\Parallels\Parallels Tools\prl_cc.exe","%%1938","0x2a8",,"4688","0","0","13312","0","-9214364837600034816","7039","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","68","bob-win7.lab.local",,"12/25/2016 8:14:46 PM",,,"security","Information","Info","Process Creation"
"S-1-5-21-1821399794-337311051-3185148185-1104","rick.james.sa","LAB","0x1d275f","0xa78","C:\Windows\explorer.exe","%%1938","0x6e0",,"4688","0","0","13312","0","-9214364837600034816","7038","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","48","bob-win7.lab.local",,"12/25/2016 8:14:45 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x7d0","C:\Program Files (x86)\Parallels\Parallels Tools\Services\prl_tools_service.exe","%%1936","0x91c",,"4688","0","0","13312","0","-9214364837600034816","7037","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","48","bob-win7.lab.local",,"12/25/2016 8:14:45 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x5e0","C:\Windows\System32\dwm.exe","%%1938","0x370",,"4688","0","0","13312","0","-9214364837600034816","7036","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","48","bob-win7.lab.local",,"12/25/2016 8:14:45 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x6e0","C:\Windows\System32\userinit.exe","%%1938","0x92c",,"4688","0","0","13312","0","-9214364837600034816","7035","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","48","bob-win7.lab.local",,"12/25/2016 8:14:45 PM",,,"security","Information","Info","Process Creation"
"S-1-5-18","BOB-WIN7$","LAB","0x3e7","0x5e8","C:\Windows\System32\SearchFilterHost.exe","%%1936","0xb80",,"4688","0","0","13312","0","-9214364837600034816","7034","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","48","bob-win7.lab.local",,"12/25/2016 8:14:45 PM",,,"security","Information","Info","Process Creation"
